,keys,values
0,Grumpy Old Men,"['Kind Hearts and Coronets', 'Song of the South', 'Sgt. Bilko', 'Richard III', 'Nothing But Trouble', 'Zardoz', 'Private Benjamin', 'Driving Miss Daisy', 'Grumpy Old Men', 'Key Largo', 'Hello, Dolly!', 'The Old Man and the Sea', ""Widows' Peak""]"
1,Twelve Monkeys,"['Breach', 'Outbreak', 'Meet the Robinsons', 'Timecop', 'Austin Powers in Goldmember', 'Terminator 2: Judgment Day', 'Star Trek IV: The Voyage Home', 'Terminator 3: Rise of the Machines', 'Back to the Future Part III', 'The Butterfly Effect', 'Mis', '28 Days Later...', 'I Am Legend', 'War of the Worlds', 'Back to the Future', 'American Ninja 3: Blood Hunt', 'Twelve Monkeys', 'Primer', 'The Time Machine', 'Time Bandits', 'Les visiteurs']"
2,Braveheart,"['Local Hero', 'The Water Horse', 'Beverly Hills Cop', 'Darkness', 'Rob Roy', 'Trainspotting', 'The Queen', 'Braveheart']"
3,Congo,"['Elektra', 'The Hand That Rocks the Cradle', 'The Jewel of the Nile', 'Snatch.', 'Beauty and the Beast', 'After the Sunset', 'The Pink Panther', 'Diamonds Are Forever', 'Toys', 'Gorillas in the Mist: The Story of Dian Fossey', 'Blood Diamond', 'Innerspace', 'King Kong', 'Blue Streak', 'How to Lose a Guy in 10 Days', 'Congo', 'Super Mario Bros.']"
4,Desperado,"['The Matrix Revolutions', 'Saw III', 'Sånger från andra våningen', 'Around the World in 80 Days', 'Last Man Standing', 'The 40 Year Old Virgin', 'Amadeus', ""White Men Can't Jump"", 'A History of Violence', 'Prozac Nation', 'The Quiet', 'The Alamo', 'Desperado', 'The Full Monty', 'Red Sonja', 'Cat People', 'Striptease', 'Closer', ""Carlito's Way"", 'Roxanne', 'Dead Calm', 'Romeo + Juliet', 'Stage Beauty', 'Invasion of the Body Snatchers', 'Sixteen Candles', 'Le professionnel', 'In the Valley of Elah', 'Das Experiment', 'The Dukes of Hazzard', 'Body Heat', 'Dracula', 'Van Wilder', '21 Grams', 'Ken Park', 'The Unbearable Lightness of Being', 'Fast Times at Ridgemont High', 'The Three Burials of Melquiades Estrada', 'Rumor Has It...', 'After Hours', 'Escape from New York', 'The Tailor of Panama', 'About Schmidt', 'The Man Who Fell to Earth', 'Scary Movie 4', 'Eastern Promises', 'The People vs. Larry Flynt', 'Enter the Dragon', 'Forgetting Sarah Marshall', 'Knafayim Shvurot', 'Beautiful People', 'Waking the Dead', 'Buena Vista Social Club', 'Chasing Liberty', 'Die Hard', 'The Omen', 'Se, jie', 'End of Days', 'The Lookout', 'Duo luo tian shi', 'Knocked Up', 'Saw IV', 'American Pie', 'Hostel', ""Grandma's Boy"", 'The Girl Next Door', 'Believers', 'High Noon', 'Nineteen Eighty-Four', 'The Juror', 'Single White Female', 'The Color of Money', 'The Heartbreak Kid', 'Dorm Daze 2', 'The Cider House Rules', 'Lethal Weapon', 'Le retour de Martin Guerre', 'Witness', ""You Don't Mess with the Zohan""]"
5,Die Hard: With a Vengeance,"['Die Hard: With a Vengeance', 'The Specialist', 'Blown Away', 'Beaufort', 'Tsubaki Sanjûrô', 'Speed', 'Executive Decision', 'The X Files', 'The World According to Garp', 'The Long Good Friday']"
6,Judge Dredd,"['Pi', 'Gwoemul', 'Batoru rowaiaru', 'Evil Dead II', 'Mulholland Dr.', 'Krull', 'Sweeney Todd: The Demon Barber of Fleet Street', 'Mou gaan dou', 'Fire in the Sky', 'Nothing But Trouble', 'Flash Gordon', 'Mississippi Burning', 'Trois couleurs: Rouge', 'Plan 9 from Outer Space', 'Fahrenheit 9/11', 'Hannibal', 'The Brave Little Toaster', 'Do the Right Thing', 'Dip huet seung hung', '3 Men and a Baby', 'The Neverending Story III', 'Timecop', 'Colossus: The Forbin Project', 'American Gangster', 'Moonlight Mile', 'Barbarella', 'Young Sherlock Holmes', 'Alien Nation', 'The Rocky Horror Picture Show', 'Papurika', 'Happiness', 'The Addams Family', 'Dragon Ball Z', 'Insomnia', 'Fantastic Four', 'Bad Boys II', 'Jay and Silent Bob Strike Back', 'Forbidden Planet', 'Ultraviolet', 'Serpico', 'Hot Fuzz', 'Beverly Hills Cop', '...And Justice for All.', 'Banlieue 13', 'Persepolis', 'Chitty Chitty Bang Bang', 'The Departed', 'Constantine', 'Cellular', 'Salinui chueok', 'Judge Dredd', 'Road to Perdition', 'Lethal Weapon', 'Batman: Mask of the Phantasm', 'Traffic', 'The Polar Express', 'RoboCop', 'The Evil Dead', ""The Devil's Own"", 'Police Academy', 'Revenge of the Nerds II: Nerds in Paradise', 'The Rocketeer', 'Titan A.E.', 'Fast, Cheap & Out of Control', 'Fracture', 'Police Academy 3: Back in Training', 'Vampire Hunter D: Bloodlust', 'Hostage', 'Showtime', 'Dark Star', 'Watership Down', 'S.W.A.T.', 'Red Sonja', 'Donnie Darko', 'Fantasia', 'Fargo']"
7,Pulp Fiction,"['Idle Hands', 'Wicker Park', 'Pulp Fiction', 'Reservoir Dogs', 'Cold Mountain', 'Buffalo Soldiers', 'American Beauty', 'Mou gaan dou', 'Eternal Sunshine of the Spotless Mind', 'Primer', '25th Hour', 'Following', 'The Limey', 'Memento', 'Coach Carter', 'Amores perros', '11:14']"
8,The Crow,"['The Mask of Zorro', 'Hellboy II: The Golden Army', 'The Crow', 'Batman Begins', 'Batman Returns', 'Superman', 'Dragon Ball Z', 'Men in Black', 'X-Men', 'The Dark Knight', 'Unbreakable', 'Mystery Men', 'Superman II', 'The Incredibles', 'Spider-Man']"
9,Beverly Hills Cop III,"['Bean', 'Licence to Kill', 'City by the Sea', 'Crocodile Dundee in Los Angeles', '48 Hrs.', 'Collateral', 'Clueless', 'Die Hard', 'Falling Down', 'Beverly Hills Cop III', 'Gods and Monsters', 'The Peacemaker', 'Playing by Heart', 'Liar Liar']"
